6.71520	4.69436	5.43610	2.70117	2.59462	5.35451	2.53247	5.80762	5.04774	5.14672
2.48133	4.49931	3.43476	2.62578	7.08143	5.17831	6.85765	1.83916	4.69398	3.59740
2.54656	1.82545	4.59257	1.79683	2.86797	6.25777	3.70702	5.33383	4.80387	2.17634
4.35265	5.47434	6.31441	6.01887	3.12987	6.69765	2.38921	5.74444	3.53082	2.93796
1.77885	2.61190	5.40603	5.57019	5.82831	2.14378	4.74037	3.34695	4.36069	6.21867
5.18344	6.38807	6.03048	2.44936	4.41599	4.18384	6.45460	2.31993	5.18225	4.30362
1.92702	2.81716	5.48568	6.75446	1.88782	2.73168	7.13430	3.74320	2.88730	3.58342
3.94765	2.86678	4.31253	6.77503	3.23739	2.47917	4.63118	2.01256	7.05519	3.32087
4.78535	2.01909	5.05621	4.28212	6.10349	6.26139	5.13241	4.62465	6.19939	3.15050
4.97835	6.58846	5.76432	2.34244	3.93836	4.31944	2.66283	2.68691	4.94416	2.90394
3.67230	5.45668	2.73313	6.11764	5.52758	2.86187	2.22067	4.44580	5.52105	1.91914
4.24243	3.27205	6.93612	3.28107	5.75173	6.34309	4.90928	7.11664	2.00781	5.56624
2.59057	6.92807	3.52396	7.09423	4.26106	6.88870	3.92967	3.83619	5.96201	3.20477
1.93869	2.97883	6.15420	4.86916	2.09593	4.85712	5.14440	5.25596	5.96568	4.23201
4.16619	4.42549	3.54351	4.03734	3.78316	4.42231	1.77139	2.89238	3.77139	6.70770
3.53223	3.07976	2.98072	3.92184	2.59684	3.48557	7.11837	3.13673	5.14855	2.05182
2.80620	4.56800	2.93099	6.84329	6.02697	4.94319	2.13503	6.00840	5.40997	4.32154
4.10009	6.78443	6.21894	6.70267	2.08724	5.46964	6.03621	3.95586	3.72171	3.13003
2.52399	6.81915	4.50887	4.22413	5.59584	4.80015	2.01078	3.44264	4.96409	3.17842
2.90982	5.34344	4.06494	2.69415	3.39647	5.78025	5.05227	4.26263	6.67589	2.35567
									
