7.43876	7.14638	5.96996
5.72651	3.55493	5.04909
8.77900	8.27825	4.93100
2.68139	3.06322	3.64095
6.11018	4.54405	3.96636
4.91974	4.70991	6.76082
4.86228	5.50244	5.48012
4.77900	5.68861	3.79246
5.98800	2.94721	8.80193
8.61285	5.55742	7.67229
3.65418	3.66068	6.45781
6.04592	7.07449	7.77904
6.04532	3.03966	7.05212
3.86814	3.30193	5.03547
4.92388	6.15287	7.32363
4.84819	6.15585	5.48825
4.53300	6.50357	6.53543
5.64839	7.18130	5.60615
4.05192	3.63306	4.85583
4.59452	5.36648	6.12458
