0.27682	1.25188	0.20188	3.48170	-0.23998 0.41044 0.85916 2.52734 1.28799 1.05355
1.08099	-0.19532	0.34911	2.66714	0.79667	1.61308	-0.27700	2.40382	0.64123	1.59796
3.77403	2.49589	0.16234	1.63932	1.59863	0.10645	3.16633	3.53649	1.93280	2.67242
1.53588	1.11437	0.76766	2.08776	1.68582	1.07453	1.28447	1.47585	0.61139	-0.18265
1.88111	-0.39310	3.01967	2.03525	2.66024	1.65439	1.47179	0.82108	3.26414	1.63573
0.55714	1.37165	0.93446	1.08369	3.49182	-0.20587	1.67100	-0.36475	2.08606	3.45280
1.59685	2.10575	2.56335	0.10319	1.00541	0.77176	0.45893	2.31118	1.50201	0.71677
1.67116	1.93246	0.81230	2.67248	1.65497	0.54312	0.58172	1.45591	1.95554	1.31209
0.26153	-1.28033	2.31087	3.56690	0.39607	1.22987	2.12035	0.43466	-0.81547	-1.56303
1.45410	1.69605	2.88916	2.14980	1.98137	0.78240	1.48965	2.45441	-0.48589	1.40902
0.88806	0.53198	1.45363	0.66379	1.72512	1.01676	3.46766	2.65882	1.89263	1.99911
0.99332	1.91371	1.92072	-0.96269	1.74592	0.98989	2.23512	2.66757	2.42363	1.22860
1.30607	1.26953	2.94725	2.72254	0.80542	-0.68000	2.54790	0.87187	0.88808	1.07164
0.45476	3.28667	0.66293	0.38934	0.45709	1.30363	2.02014	2.43556	1.36680	1.09690
1.19538	0.24853	2.58259	-0.32869	0.33742	2.70038	0.84636	1.39278	1.07495	1.95710
1.70708	1.29373	0.94429	1.59115	0.78169	2.32746	2.63231	1.44142	1.29937	1.90566
2.44850	1.57070	0.15773	1.68594	-0.32335	1.25210	-0.42635	-0.83424	0.71754	3.53281
1.90291	1.39243	3.37929	0.67481	1.67180	1.54016	-0.37029	2.79584	1.19739	1.09778
2.73743	1.47707	2.32229	0.72150	1.45914	1.10229	1.36441	1.29626	-0.35407	-1.11127
2.43731	-0.02200	-0.88214	1.96051	2.66499	0.20145	0.68067	3.64380	0.36211	0.36635

